iter	Passed	Remaining
0	16	16042
1	28	14369
2	46	15415
3	65	16213
4	74	14901
5	84	14076
6	94	13385
7	102	12733
8	112	12411
9	120	11949
10	132	11891
11	141	11691
12	150	11395
13	159	11262
14	168	11052
15	179	11046
16	195	11302
17	204	11183
18	215	11150
19	226	11077
20	233	10898
21	243	10846
22	252	10737
23	261	10614
24	269	10525
25	277	10401
26	285	10298
27	294	10209
28	302	10133
29	311	10057
30	320	10007
31	328	9935
32	337	9888
33	347	9876
34	358	9896
35	368	9860
36	376	9793
37	384	9723
38	391	9657
39	401	9631
40	409	9582
41	417	9516
42	425	9460
43	433	9408
44	440	9352
45	448	9296
46	456	9247
47	463	9189
48	471	9146
49	478	9095
50	487	9062
51	494	9012
52	502	8980
53	509	8931
54	517	8895
55	525	8857
56	533	8833
57	541	8796
58	549	8767
59	557	8731
60	566	8720
61	574	8695
62	582	8664
63	590	8635
64	598	8606
65	607	8597
66	615	8566
67	623	8545
68	631	8527
69	639	8498
70	647	8467
71	654	8442
72	662	8413
73	670	8391
74	678	8362
75	686	8341
76	693	8315
77	701	8291
78	708	8263
79	717	8246
80	724	8222
81	733	8209
82	740	8185
83	748	8164
84	756	8143
85	764	8127
86	772	8105
87	780	8088
88	788	8070
89	797	8060
90	806	8051
91	814	8037
92	821	8015
93	830	8003
94	837	7978
95	845	7958
96	853	7943
97	860	7920
98	869	7908
99	876	7890
100	885	7877
101	892	7857
102	900	7843
103	908	7824
104	916	7811
105	923	7792
106	931	7776
107	939	7759
108	947	7747
109	955	7732
110	964	7723
111	971	7705
112	979	7691
113	987	7675
114	996	7667
115	1003	7650
116	1013	7645
117	1021	7635
118	1029	7623
119	1037	7608
120	1045	7597
121	1053	7582
122	1062	7574
123	1069	7558
124	1078	7546
125	1085	7531
126	1094	7523
127	1101	7507
128	1109	7494
129	1117	7476
130	1125	7464
131	1132	7449
132	1141	7440
133	1148	7423
134	1157	7414
135	1164	7400
136	1172	7387
137	1180	7372
138	1188	7359
139	1196	7350
140	1203	7334
141	1211	7320
142	1219	7307
143	1227	7298
144	1235	7285
145	1243	7274
146	1251	7262
147	1259	7251
148	1267	7236
149	1275	7227
150	1282	7211
151	1290	7202
152	1298	7187
153	1306	7174
154	1313	7161
155	1321	7151
156	1329	7139
157	1337	7126
158	1345	7115
159	1353	7105
160	1361	7094
161	1369	7085
162	1376	7070
163	1384	7056
164	1392	7046
165	1400	7036
166	1408	7023
167	1416	7015
168	1424	7006
169	1432	6993
170	1439	6979
171	1447	6970
172	1456	6960
173	1463	6947
174	1471	6937
175	1479	6926
176	1487	6915
177	1494	6901
178	1503	6894
179	1510	6883
180	1518	6871
181	1526	6858
182	1534	6848
183	1541	6838
184	1549	6826
185	1557	6816
186	1565	6806
187	1573	6795
188	1581	6787
189	1591	6785
190	1600	6779
191	1609	6771
192	1617	6763
193	1626	6757
194	1634	6749
195	1643	6740
196	1651	6732
197	1659	6723
198	1667	6713
199	1676	6707
200	1685	6698
201	1693	6689
202	1701	6681
203	1710	6673
204	1720	6670
205	1729	6664
206	1737	6656
207	1746	6651
208	1755	6643
209	1769	6656
210	1783	6668
211	1795	6673
212	1803	6664
213	1812	6656
214	1821	6650
215	1830	6642
216	1837	6631
217	1845	6621
218	1853	6610
219	1861	6601
220	1869	6590
221	1877	6581
222	1886	6573
223	1894	6564
224	1903	6557
225	1914	6555
226	1922	6545
227	1931	6538
228	1939	6530
229	1947	6520
230	1955	6511
231	1964	6502
232	1972	6492
233	1980	6483
234	1989	6477
235	1997	6466
236	2006	6459
237	2014	6448
238	2022	6438
239	2029	6428
240	2038	6418
241	2045	6407
242	2053	6398
243	2061	6388
244	2069	6378
245	2077	6369
246	2086	6360
247	2093	6349
248	2103	6344
249	2113	6340
250	2121	6331
251	2129	6320
252	2137	6310
253	2144	6299
254	2152	6288
255	2160	6277
256	2167	6267
257	2175	6257
258	2183	6247
259	2191	6236
260	2199	6227
261	2207	6218
262	2215	6207
263	2223	6197
264	2230	6186
265	2238	6177
266	2246	6167
267	2254	6157
268	2262	6147
269	2270	6137
270	2277	6126
271	2285	6118
272	2293	6108
273	2302	6099
274	2309	6087
275	2317	6077
276	2324	6067
277	2332	6058
278	2340	6048
279	2349	6040
280	2356	6029
281	2364	6019
282	2371	6009
283	2379	5999
284	2387	5989
285	2396	5981
286	2403	5971
287	2411	5961
288	2419	5951
289	2427	5942
290	2434	5932
291	2442	5922
292	2450	5913
293	2457	5902
294	2466	5893
295	2473	5883
296	2481	5873
297	2488	5862
298	2496	5853
299	2504	5844
300	2512	5834
301	2520	5824
302	2529	5817
303	2536	5807
304	2544	5798
305	2552	5788
306	2559	5778
307	2567	5768
308	2575	5759
309	2583	5750
310	2591	5742
311	2600	5734
312	2608	5725
313	2616	5716
314	2624	5707
315	2631	5697
316	2639	5686
317	2646	5676
318	2654	5666
319	2662	5658
320	2670	5648
321	2677	5638
322	2685	5629
323	2693	5620
324	2701	5610
325	2709	5601
326	2717	5592
327	2725	5583
328	2733	5574
329	2740	5564
330	2748	5555
331	2756	5546
332	2764	5537
333	2772	5527
334	2779	5517
335	2787	5508
336	2795	5498
337	2802	5488
338	2810	5479
339	2817	5469
340	2825	5459
341	2833	5451
342	2841	5442
343	2849	5433
344	2857	5424
345	2864	5414
346	2872	5405
347	2880	5395
348	2887	5386
349	2894	5376
350	2902	5366
351	2910	5357
352	2918	5348
353	2925	5339
354	2933	5330
355	2941	5320
356	2948	5311
357	2956	5302
358	2964	5292
359	2972	5283
360	2980	5276
361	2990	5269
362	2997	5260
363	3005	5251
364	3012	5241
365	3021	5233
366	3028	5223
367	3036	5215
368	3044	5206
369	3052	5197
370	3060	5188
371	3068	5180
372	3076	5170
373	3083	5161
374	3091	5152
